city,unit,t,p,b,rC,d,rS,ell,weighted_loss,scenario
Chicago,849,0,0.0732582597640136,0.39024479369244625,0.0,0.39024479369244625,0.0,0.3620229279810841,0.026521169698567045,base
Chicago,411,0,0.04504600960276997,0.38755158162062914,0.0,0.38755158162062914,0.0,0.35997413754293983,0.016215398456508105,base
Chicago,719,0,0.034493511696031064,0.3875322291375006,0.0,0.3875322291375006,0.0,0.356258848975329,0.012288618773945076,base
Chicago,463,0,0.02199049532217149,0.3781662574813134,0.0,0.3781662574813134,0.0,0.36451593186023123,0.008015885894429397,base
Chicago,773,0,0.03517892163809661,0.34744652256350583,0.0,0.34744652256350583,0.0,0.35221408050051606,0.012390511537761906,base
Chicago,700,0,0.021888434041343375,0.3710837431475461,0.0,0.3710837431475461,0.0,0.3551820535401829,0.007774378951583185,base
Chicago,551,0,0.041549835495474086,0.3337687751950052,0.0,0.3337687751950052,0.0,0.35012979889507156,0.014547835546153649,base
Chicago,173,0,0.022248518095628077,0.36761644652242054,0.0,0.36761644652242054,0.0,0.3575591244137358,0.007955160649775932,base
Chicago,31,0,0.03508169780444638,0.34325085348626955,0.0,0.34325085348626955,0.0,0.3414976908379579,0.011980318790893495,base
Chicago,823,0,0.03460816083239226,0.34265848495105344,0.0,0.34265848495105344,0.0,0.3396344322074495,0.011754123054053637,base
Chicago,257,0,0.028424044567344653,0.35243021301291183,0.0,0.35243021301291183,0.0,0.3453696571378776,0.009816802526695576,base
Chicago,396,0,0.030644973876448028,0.34658896272691253,0.0,0.34658896272691253,0.0,0.34905469456717914,0.01069677199646275,base
Chicago,64,0,0.035060043789793674,0.3380444102994211,0.0,0.3380444102994211,0.0,0.3488054784815625,0.012229135349683517,base
Chicago,625,0,0.030254157415992567,0.3421413951212203,0.0,0.3421413951212203,0.0,0.3357214458811552,0.0101569694716131,base
Chicago,50,0,0.04376392138199165,0.31013826289386676,0.0,0.31013826289386676,0.0,0.3328340216529436,0.014566121956871531,base
Chicago,516,0,0.03610346024364044,0.32416817249638025,0.0,0.32416817249638025,0.0,0.3369595546774971,0.012165405886013803,base
Chicago,793,0,0.02045457667677295,0.35194427244646653,0.0,0.35194427244646653,0.0,0.35247494977527233,0.007209725886820002,base
Chicago,282,0,0.017863396453167858,0.3498859152046632,0.0,0.3498859152046632,0.0,0.3525829291151956,0.006298328645403919,base
Chicago,881,0,0.034034771480170346,0.3132233721769953,0.0,0.3132233721769953,0.0,0.33377003908435304,0.011359787007163481,base
Chicago,845,0,0.02213648320105813,0.3327185124302645,0.0,0.3327185124302645,0.0,0.33441862477136786,0.007402852269372347,base
Chicago,275,0,0.023699018589187094,0.3275217346297219,0.0,0.3275217346297219,0.0,0.34332376095798894,0.008136436193053006,base
Chicago,770,0,0.019411283349224703,0.3355180810068998,0.0,0.3355180810068998,0.0,0.3466758415729,0.006729422991102495,base
Chicago,538,0,0.02523120361801248,0.3236760466132484,0.0,0.3236760466132484,0.0,0.32936424952360355,0.008310256444223911,base
Chicago,47,0,0.02082462235784817,0.32949140164434954,0.0,0.32949140164434954,0.0,0.3376416534145797,0.0070312599246380785,base
Chicago,140,0,0.024104836798836623,0.32290678860166594,0.0,0.32290678860166594,0.0,0.3455476446788683,0.008329369581206506,base
Chicago,627,0,0.025436638249440122,0.3175022098108332,0.0,0.3175022098108332,0.0,0.32887178684320983,0.00836539267237771,base
Chicago,242,0,0.022268423337789604,0.32196180062991187,0.0,0.32196180062991187,0.0,0.3371821735166354,0.007508515381824467,base
Chicago,393,0,0.026722869819916405,0.3135014681994029,0.0,0.3135014681994029,0.0,0.33061100427970785,0.008834874828398459,base
Chicago,562,0,0.02043434689837477,0.3253749447910481,0.0,0.3253749447910481,0.0,0.3415141167551301,0.006978617932466392,base
Chicago,209,0,0.005261409707300881,0.3536922913707897,0.0,0.3536922913707897,0.0,0.3515673855186482,0.0018497400549382067,base
Chicago,306,0,0.03138168581027968,0.3039130424950506,0.0,0.3039130424950506,0.0,0.3201546804957272,0.010046993594007387,base
Chicago,88,0,0.019465677870920295,0.32154066479781424,0.0,0.32154066479781424,0.0,0.3302962298284111,0.006429440011819306,base
Chicago,289,0,0.02207449320108979,0.31522270187246454,0.0,0.31522270187246454,0.0,0.32323371682545177,0.007135220484426418,base
